SOURCE	TARGET	count
GZMK+ CD8+ Tem1_OA_BT	GNLY+ NK_OA_BT	2
GZMK+ CD8+ Tem1_OA_BT	Naive T_OA_BT	1
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem2_OA_BT	4
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem1_OA_BT	0
GZMK+ CD8+ Tem1_OA_BT	Proliferating CD8+ T_OA_BT	5
GZMK+ CD8+ Tem1_OA_BT	CD4+ Tex_OA_BT	0
GZMK+ CD8+ Tem1_OA_BT	Treg_OA_BT	0
GZMK+ CD8+ Tem1_OA_BT	Proliferating NK_OA_BT	7
GZMK+ CD8+ Tem1_OA_BT	Naive T_RA_BT	9
GZMK+ CD8+ Tem1_OA_BT	Treg_RA_BT	11
GZMK+ CD8+ Tem1_OA_BT	CD4+ Tex_RA_BT	18
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem2_RA_BT	9
GZMK+ CD8+ Tem1_OA_BT	GNLY+ NK_RA_BT	13
GZMK+ CD8+ Tem1_OA_BT	ZNF683+ CD8+ Trm_RA_BT	6
GZMK+ CD8+ Tem1_OA_BT	Proliferating CD8+ T_RA_BT	21
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem1_RA_BT	18
GZMK+ CD8+ Tem1_OA_BT	Proliferating NK_RA_BT	15
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ NKTem_RA_BT	12
GZMK+ CD8+ Tem1_OA_BT	GNLY+ NK_RA_AT	14
GZMK+ CD8+ Tem1_OA_BT	Naive T_RA_AT	7
GZMK+ CD8+ Tem1_OA_BT	ZNF683+ CD8+ Trm_RA_AT	5
GZMK+ CD8+ Tem1_OA_BT	Proliferating NK_RA_AT	14
GZMK+ CD8+ Tem1_OA_BT	Treg_RA_AT	12
GZMK+ CD8+ Tem1_OA_BT	CD4+ Tex_RA_AT	15
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem2_RA_AT	5
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ Tem1_RA_AT	9
GZMK+ CD8+ Tem1_OA_BT	Proliferating CD8+ T_RA_AT	16
GZMK+ CD8+ Tem1_OA_BT	GZMK+ CD8+ NKTem_RA_AT	5
Proliferating CD8+ T_OA_BT	ZNF683+ CD8+ Trm_OA_BT	4
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ NKTem_OA_BT	16
Proliferating CD8+ T_OA_BT	GNLY+ NK_OA_BT	9
Proliferating CD8+ T_OA_BT	Naive T_OA_BT	2
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem2_OA_BT	8
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem1_OA_BT	5
Proliferating CD8+ T_OA_BT	Proliferating CD8+ T_OA_BT	8
Proliferating CD8+ T_OA_BT	CD4+ Tex_OA_BT	6
Proliferating CD8+ T_OA_BT	Treg_OA_BT	5
Proliferating CD8+ T_OA_BT	Proliferating NK_OA_BT	12
Proliferating CD8+ T_OA_BT	Naive T_RA_BT	23
Proliferating CD8+ T_OA_BT	Treg_RA_BT	24
Proliferating CD8+ T_OA_BT	CD4+ Tex_RA_BT	37
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem2_RA_BT	23
Proliferating CD8+ T_OA_BT	GNLY+ NK_RA_BT	31
Proliferating CD8+ T_OA_BT	ZNF683+ CD8+ Trm_RA_BT	19
Proliferating CD8+ T_OA_BT	Proliferating CD8+ T_RA_BT	40
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem1_RA_BT	30
Proliferating CD8+ T_OA_BT	Proliferating NK_RA_BT	27
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ NKTem_RA_BT	20
Proliferating CD8+ T_OA_BT	GNLY+ NK_RA_AT	33
Proliferating CD8+ T_OA_BT	Naive T_RA_AT	13
Proliferating CD8+ T_OA_BT	ZNF683+ CD8+ Trm_RA_AT	15
Proliferating CD8+ T_OA_BT	Proliferating NK_RA_AT	21
Proliferating CD8+ T_OA_BT	Treg_RA_AT	27
Proliferating CD8+ T_OA_BT	CD4+ Tex_RA_AT	35
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem2_RA_AT	9
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ Tem1_RA_AT	15
Proliferating CD8+ T_OA_BT	Proliferating CD8+ T_RA_AT	34
Proliferating CD8+ T_OA_BT	GZMK+ CD8+ NKTem_RA_AT	18
CD4+ Tex_OA_BT	ZNF683+ CD8+ Trm_OA_BT	0
CD4+ Tex_OA_BT	GZMK+ CD8+ NKTem_OA_BT	1
CD4+ Tex_OA_BT	GNLY+ NK_OA_BT	2
CD4+ Tex_OA_BT	Naive T_OA_BT	0
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem2_OA_BT	2
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem1_OA_BT	0
CD4+ Tex_OA_BT	Proliferating CD8+ T_OA_BT	6
CD4+ Tex_OA_BT	CD4+ Tex_OA_BT	1
CD4+ Tex_OA_BT	Treg_OA_BT	0
CD4+ Tex_OA_BT	Proliferating NK_OA_BT	4
CD4+ Tex_OA_BT	Naive T_RA_BT	11
CD4+ Tex_OA_BT	Treg_RA_BT	14
CD4+ Tex_OA_BT	CD4+ Tex_RA_BT	20
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem2_RA_BT	6
CD4+ Tex_OA_BT	GNLY+ NK_RA_BT	14
