SOURCE	TARGET	count
S100A12+ Mac_OA_BT	Naive T_RA_AT	4
S100A12+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_AT	7
S100A12+ Mac_OA_BT	Proliferating NK_RA_AT	7
S100A12+ Mac_OA_BT	Treg_RA_AT	10
S100A12+ Mac_OA_BT	CD4+ Tex_RA_AT	10
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_AT	3
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_AT	8
S100A12+ Mac_OA_BT	Proliferating CD8+ T_RA_AT	16
S100A12+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_AT	8
IEG Mac_OA_BT	SPP1+ Mac_OA_BT	5
IEG Mac_OA_BT	C1QC+ Mac_OA_BT	12
IEG Mac_OA_BT	S100A12+ Mac_OA_BT	2
IEG Mac_OA_BT	IEG Mac_OA_BT	0
IEG Mac_OA_BT	Mac_OA_BT	0
IEG Mac_OA_BT	CCL4+ Mac_OA_BT	1
IEG Mac_OA_BT	SPP1+ Mac_RA_BT	34
IEG Mac_OA_BT	S100A12+ Mac_RA_BT	24
IEG Mac_OA_BT	IEG Mac_RA_BT	17
IEG Mac_OA_BT	Mac_RA_BT	17
IEG Mac_OA_BT	C1QC+ Mac_RA_BT	27
IEG Mac_OA_BT	CCL4+ Mac_RA_BT	33
IEG Mac_OA_BT	Mac_RA_AT	9
IEG Mac_OA_BT	C1QC+ Mac_RA_AT	29
IEG Mac_OA_BT	SPP1+ Mac_RA_AT	23
IEG Mac_OA_BT	S100A12+ Mac_RA_AT	15
IEG Mac_OA_BT	IEG Mac_RA_AT	6
IEG Mac_OA_BT	CCL4+ Mac_RA_AT	33
IEG Mac_OA_BT	ZNF683+ CD8+ Trm_OA_BT	3
IEG Mac_OA_BT	GZMK+ CD8+ NKTem_OA_BT	3
IEG Mac_OA_BT	GNLY+ NK_OA_BT	2
IEG Mac_OA_BT	Naive T_OA_BT	2
IEG Mac_OA_BT	GZMK+ CD8+ Tem2_OA_BT	2
IEG Mac_OA_BT	GZMK+ CD8+ Tem1_OA_BT	2
IEG Mac_OA_BT	Proliferating CD8+ T_OA_BT	8
IEG Mac_OA_BT	CD4+ Tex_OA_BT	3
IEG Mac_OA_BT	Treg_OA_BT	2
IEG Mac_OA_BT	Proliferating NK_OA_BT	4
IEG Mac_OA_BT	Naive T_RA_BT	7
IEG Mac_OA_BT	Treg_RA_BT	10
IEG Mac_OA_BT	CD4+ Tex_RA_BT	14
IEG Mac_OA_BT	GZMK+ CD8+ Tem2_RA_BT	8
IEG Mac_OA_BT	GNLY+ NK_RA_BT	15
IEG Mac_OA_BT	ZNF683+ CD8+ Trm_RA_BT	8
IEG Mac_OA_BT	Proliferating CD8+ T_RA_BT	17
IEG Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	10
IEG Mac_OA_BT	Proliferating NK_RA_BT	5
IEG Mac_OA_BT	GZMK+ CD8+ NKTem_RA_BT	5
IEG Mac_OA_BT	GNLY+ NK_RA_AT	13
IEG Mac_OA_BT	Naive T_RA_AT	5
IEG Mac_OA_BT	ZNF683+ CD8+ Trm_RA_AT	7
IEG Mac_OA_BT	Proliferating NK_RA_AT	8
IEG Mac_OA_BT	Treg_RA_AT	13
IEG Mac_OA_BT	CD4+ Tex_RA_AT	11
IEG Mac_OA_BT	GZMK+ CD8+ Tem2_RA_AT	4
IEG Mac_OA_BT	GZMK+ CD8+ Tem1_RA_AT	8
IEG Mac_OA_BT	Proliferating CD8+ T_RA_AT	18
IEG Mac_OA_BT	GZMK+ CD8+ NKTem_RA_AT	9
